contigname	contiglength
CADCXH010000144.1	77779
CADCXH010000145.1	39112
CADCXH010000146.1	404750
CADCXH010000147.1	196227
CADCXH010000148.1	39174
CADCXH010000149.1	323512
CADCXH010000150.1	83186
CADCXH010000151.1	61906
CADCXH010000152.1	127844
CADCXH010000153.1	61549
CADCXH010000154.1	81940
CADCXH010000155.1	162546
CADCXH010000156.1	69385
CADCXH010000157.1	46878
CADCXH010000158.1	145484
CADCXH010000159.1	118323
CADCXH010000160.1	123881
CADCXH010000161.1	29995
CADCXH010000162.1	161585
CADCXH010000163.1	43805
CADCXH010000164.1	297039
CADCXH010000165.1	490709
CADCXH010000166.1	203969
CADCXH010000167.1	324655
CADCXH010000168.1	218172
CADCXH010000169.1	19044
CADCXH010000170.1	61061
CADCXH010000171.1	289459
CADCXH010000172.1	261312
CADCXH010000173.1	625727
CADCXH010000174.1	333635
CADCXH010000175.1	135775
CADCXH010000176.1	858184
CADCXH010000177.1	121447
CADCXH010000178.1	33519
CADCXH010000179.1	187731
CADCXH010000180.1	219001
CADCXH010000181.1	45830
CADCXH010000182.1	129811
CADCXH010000183.1	365466
CADCXH010000184.1	433943
CADCXH010000185.1	201146
CADCXH010000186.1	172809
CADCXH010000187.1	64928
CADCXH010000188.1	137501
CADCXH010000189.1	155459
CADCXH010000190.1	175997
CADCXH010000191.1	286963
CADCXH010000192.1	245988
CADCXH010000193.1	30682
CADCXH010000194.1	514743
CADCXH010000195.1	56505
CADCXH010000196.1	91994
CADCXH010000197.1	256332
CADCXH010000198.1	36429
CADCXH010000199.1	30384
CADCXH010000200.1	189740
CADCXH010000201.1	66576
CADCXH010000202.1	36592
CADCXH010000203.1	74180
CADCXH010000204.1	30109
CADCXH010000205.1	141708
CADCXH010000206.1	113692
CADCXH010000207.1	83790
CADCXH010000208.1	6557
CADCXH010000209.1	62922
CADCXH010000210.1	153818
CADCXH010000211.1	79855
CADCXH010000212.1	42847
CADCXH010000213.1	190097
CADCXH010000214.1	135148
CADCXH010000215.1	316463
CADCXH010000216.1	28442
CADCXH010000217.1	147472
CADCXH010000218.1	30511
CADCXH010000219.1	237136
CADCXH010000220.1	107548
CADCXH010000221.1	225226
CADCXH010000222.1	24264
CADCXH010000223.1	63071
CADCXH010000224.1	98197
CADCXH010000225.1	297219
CADCXH010000226.1	55042
